iter	Passed	Remaining
0	0	1779
1	1	1594
2	2	1480
3	2	1437
4	3	1398
5	4	1365
6	4	1348
7	5	1337
8	5	1324
9	6	1326
10	7	1311
11	7	1320
12	8	1316
13	9	1324
14	10	1337
15	10	1346
16	11	1346
17	12	1375
18	13	1381
19	14	1387
20	14	1388
21	15	1386
22	16	1387
23	16	1374
24	17	1371
25	18	1370
26	18	1366
27	19	1362
28	20	1360
29	20	1366
30	21	1375
31	22	1378
32	23	1376
33	23	1374
34	24	1375
35	25	1377
36	25	1378
37	26	1382
38	27	1382
39	28	1386
40	29	1388
41	29	1395
42	30	1396
43	31	1391
44	31	1383
45	32	1375
46	33	1371
47	34	1400
48	35	1412
49	36	1409
50	36	1404
51	37	1399
52	37	1394
53	38	1390
54	39	1386
55	39	1381
56	40	1379
57	41	1375
58	41	1372
59	42	1367
60	42	1362
61	43	1360
62	44	1357
63	44	1355
64	45	1353
65	46	1350
66	46	1348
67	47	1350
68	48	1358
69	49	1358
70	49	1355
71	50	1353
72	51	1350
73	51	1347
74	52	1344
75	52	1340
76	53	1339
77	54	1336
78	54	1333
79	55	1331
80	56	1329
81	56	1327
82	57	1325
83	58	1322
84	58	1321
85	59	1318
86	59	1316
87	60	1320
88	61	1323
89	62	1321
90	62	1318
91	63	1315
92	64	1314
93	64	1312
94	65	1309
95	65	1308
96	66	1307
97	67	1305
98	67	1302
99	68	1299
100	69	1297
101	69	1297
102	70	1296
103	71	1295
104	71	1293
105	72	1293
106	73	1292
107	73	1292
108	74	1295
109	75	1295
110	76	1294
111	76	1293
112	77	1291
113	77	1290
114	78	1289
115	79	1287
116	79	1286
117	80	1283
118	81	1282
119	81	1281
120	82	1279
121	82	1277
122	83	1275
123	84	1274
124	84	1273
125	85	1272
126	86	1271
127	87	1278
128	88	1279
129	88	1277
130	89	1276
131	90	1274
132	90	1272
133	91	1271
134	91	1268
135	92	1266
136	93	1265
137	93	1263
138	94	1261
139	94	1260
140	95	1258
141	96	1258
142	96	1256
143	97	1255
144	98	1256
145	98	1255
146	99	1255
147	100	1256
148	101	1256
149	101	1256
150	102	1256
151	103	1254
152	103	1253
153	104	1251
154	105	1251
155	105	1251
156	106	1250
157	107	1250
158	107	1248
159	108	1246
160	109	1245
161	109	1244
162	110	1243
163	110	1241
164	111	1239
165	112	1238
166	112	1236
167	113	1237
168	114	1239
169	115	1238
170	115	1237
171	116	1236
172	116	1234
173	117	1233
174	118	1232
175	118	1230
176	119	1229
177	120	1228
178	120	1227
179	121	1225
180	121	1224
181	122	1223
182	123	1222
183	123	1221
184	124	1220
185	125	1219
186	125	1218
187	126	1216
188	127	1217
189	127	1217
190	128	1216
191	129	1215
192	129	1214
193	130	1213
194	131	1212
195	131	1211
196	132	1210
197	132	1208
198	133	1207
199	134	1206
200	134	1205
201	135	1204
202	135	1202
203	136	1201
204	137	1200
205	137	1198
206	138	1197
207	138	1196
208	139	1195
209	140	1196
210	141	1196
211	141	1195
212	142	1194
213	142	1193
214	143	1192
215	144	1191
